iter	Passed	Remaining
0	11	11763
1	23	11770
2	34	11307
3	45	11248
4	54	10898
5	65	10780
6	76	10819
7	86	10743
8	96	10605
9	106	10543
10	118	10615
11	127	10502
12	137	10428
13	146	10319
14	159	10459
15	174	10760
16	187	10859
17	199	10866
18	209	10813
19	220	10827
20	232	10829
21	244	10853
22	256	10912
23	270	11006
24	283	11063
25	297	11156
26	310	11207
27	321	11164
28	333	11167
29	344	11126
30	355	11116
31	369	11181
32	382	11203
33	395	11229
34	405	11184
35	417	11172
36	427	11129
37	438	11110
38	449	11073
39	459	11031
40	471	11036
41	482	11010
42	494	11006
43	504	10962
44	515	10935
45	526	10918
46	537	10893
47	549	10895
48	563	10936
49	575	10931
50	586	10915
51	597	10889
52	610	10905
53	621	10893
54	632	10867
55	643	10846
56	655	10844
57	667	10840
58	679	10836
59	692	10855
60	706	10881
61	719	10880
62	731	10883
63	744	10884
64	757	10894
65	768	10880
66	780	10870
67	789	10826
68	801	10811
69	815	10838
70	827	10830
71	838	10808
72	849	10785
73	862	10788
74	871	10752
75	883	10735
76	894	10718
77	905	10704
78	916	10681
79	928	10679
80	940	10667
81	952	10663
82	963	10643
83	974	10625
84	987	10634
85	999	10621
86	1010	10604
87	1023	10603
88	1035	10597
89	1045	10574
90	1056	10554
91	1068	10541
92	1078	10521
93	1089	10504
94	1100	10482
95	1116	10514
96	1131	10531
97	1142	10519
98	1155	10516
99	1166	10502
100	1179	10496
101	1191	10489
102	1202	10473
103	1214	10465
104	1225	10448
105	1238	10442
106	1251	10440
107	1262	10428
108	1274	10419
109	1286	10406
110	1299	10407
111	1310	10391
112	1320	10368
113	1333	10363
114	1344	10347
115	1357	10341
116	1367	10319
117	1379	10312
118	1395	10329
119	1411	10350
120	1425	10354
121	1438	10350
122	1450	10339
123	1461	10327
124	1477	10343
125	1489	10333
126	1501	10320
127	1512	10304
128	1524	10295
129	1539	10301
130	1551	10295
131	1566	10301
132	1580	10305
133	1594	10304
134	1609	10313
135	1625	10328
136	1646	10369
137	1681	10505
138	1702	10546
139	1725	10597
140	1749	10660
141	1767	10680
142	1785	10698
143	1798	10692
144	1817	10715
145	1843	10781
146	1858	10786
147	1873	10785
148	1891	10802
149	1927	10921
150	1947	10949
151	1965	10965
152	1985	10991
153	2001	10994
154	2015	10990
155	2029	10981
156	2047	10991
157	2064	11003
158	2081	11010
159	2097	11011
160	2125	11077
161	2140	11072
162	2154	11061
163	2175	11091
164	2193	11102
165	2211	11108
166	2224	11095
167	2237	11080
168	2254	11085
169	2271	11088
170	2289	11097
171	2304	11094
172	2321	11095
173	2336	11090
174	2349	11078
175	2361	11058
176	2373	11033
177	2387	11023
178	2400	11009
179	2412	10989
180	2422	10963
181	2433	10938
182	2444	10913
183	2459	10908
184	2472	10891
185	2485	10876
186	2495	10851
187	2508	10835
188	2519	10810
189	2529	10784
190	2540	10762
191	2553	10746
192	2563	10718
193	2574	10697
194	2588	10686
195	2602	10674
196	2613	10651
197	2625	10634
198	2637	10618
199	2648	10594
200	2658	10569
201	2673	10561
202	2688	10553
203	2699	10534
204	2712	10518
205	2725	10504
206	2738	10489
207	2750	10474
208	2763	10460
209	2775	10440
210	2788	10426
211	2807	10434
212	2819	10416
213	2832	10403
214	2843	10381
215	2853	10358
216	2865	10340
217	2878	10324
218	2890	10306
219	2901	10288
220	2914	10273
221	2925	10250
222	2933	10219
223	2945	10203
224	2955	10179
225	2965	10157
226	2978	10141
227	2989	10122
228	2999	10099
229	3012	10084
230	3023	10063
231	3034	10044
232	3043	10018
233	3053	9997
234	3066	9983
235	3076	9958
236	3087	9940
237	3100	9928
238	3111	9905
239	3122	9889
240	3133	9867
241	3143	9845
242	3153	9823
243	3165	9808
244	3176	9787
245	3185	9762
246	3198	9749
247	3213	9744
248	3226	9731
249	3237	9712
250	3250	9700
251	3263	9685
252	3273	9663
253	3283	9644
254	3295	9627
255	3308	9616
256	3323	9608
257	3336	9594
258	3351	9587
259	3361	9566
260	3375	9556
261	3385	9535
262	3396	9517
263	3406	9497
264	3417	9479
265	3427	9457
266	3439	9441
267	3449	9420
268	3459	9400
269	3469	9379
270	3478	9356
271	3486	9332
272	3498	9317
273	3511	9303
274	3519	9279
275	3533	9269
276	3547	9259
277	3560	9247
278	3573	9235
279	3583	9215
280	3593	9195
281	3605	9180
282	3615	9159
283	3627	9144
284	3638	9127
285	3647	9105
286	3658	9089
287	3669	9071
288	3678	9050
289	3692	9039
290	3703	9022
291	3715	9008
292	3725	8988
293	3735	8970
294	3746	8954
295	3758	8938
296	3769	8921
297	3779	8903
298	3788	8881
299	3798	8862
300	3807	8842
301	3820	8831
302	3831	8814
303	3842	8796
304	3852	8777
305	3863	8762
306	3876	8751
307	3887	8734
308	3899	8720
309	3911	8706
310	3928	8703
311	3939	8687
312	3949	8669
313	3961	8653
314	3972	8639
315	3983	8622
316	3997	8613
317	4009	8598
318	4020	8583
319	4032	8568
320	4042	8551
321	4055	8538
322	4069	8530
323	4081	8514
324	4095	8505
325	4106	8489
326	4120	8481
327	4134	8470
328	4146	8457
329	4156	8438
330	4166	8420
331	4175	8401
332	4185	8384
333	4195	8366
334	4207	8353
335	4218	8336
336	4228	8319
337	4237	8299
338	4249	8285
339	4259	8269
340	4270	8253
341	4283	8240
342	4294	8225
343	4304	8208
344	4315	8193
345	4326	8178
346	4339	8166
347	4351	8152
348	4363	8138
349	4373	8122
350	4384	8106
351	4397	8094
352	4409	8082
353	4419	8064
354	4430	8049
355	4442	8036
356	4452	8019
357	4462	8002
358	4472	7985
359	4480	7966
360	4490	7949
361	4501	7932
362	4510	7914
363	4519	7896
364	4528	7878
365	4538	7862
366	4548	7845
367	4559	7829
368	4568	7811
369	4578	7796
370	4589	7780
371	4598	7763
372	4608	7747
373	4620	7733
374	4630	7716
375	4638	7698
376	4648	7681
377	4658	7664
378	4669	7650
379	4678	7633
380	4688	7617
381	4703	7608
382	4715	7597
383	4730	7588
384	4748	7585
385	4764	7578
386	4775	7564
387	4785	7547
388	4795	7531
389	4805	7516
390	4817	7503
391	4827	7487
392	4835	7468
393	4845	7452
394	4855	7436
395	4864	7419
396	4877	7408
397	4887	7393
398	4896	7375
399	4907	7360
400	4915	7343
401	4925	7326
402	4937	7314
403	4948	7300
404	4958	7284
405	4971	7273
406	4982	7259
407	4993	7246
408	5004	7231
409	5016	7218
410	5027	7204
411	5038	7190
412	5054	7183
413	5065	7170
414	5077	7156
415	5087	7141
416	5099	7129
417	5110	7114
418	5119	7099
419	5131	7086
420	5142	7072
421	5153	7058
422	5166	7047
423	5216	7086
424	5241	7091
425	5265	7094
426	5293	7103
427	5313	7101
428	5333	7098
429	5355	7098
430	5372	7092
431	5382	7076
432	5409	7083
433	5425	7075
434	5436	7060
435	5444	7043
436	5453	7026
437	5462	7009
438	5471	6991
439	5479	6974
440	5488	6956
441	5497	6939
442	5505	6921
443	5513	6904
444	5522	6887
445	5531	6870
446	5539	6853
447	5548	6836
448	5558	6821
449	5567	6805
450	5577	6789
451	5587	6774
452	5595	6756
453	5604	6739
454	5613	6724
455	5622	6707
456	5631	6690
457	5639	6673
458	5648	6657
459	5657	6641
460	5666	6624
461	5676	6609
462	5684	6593
463	5693	6577
464	5702	6560
465	5710	6544
466	5719	6527
467	5728	6511
468	5737	6496
469	5746	6479
470	5754	6463
471	5763	6447
472	5773	6432
473	5782	6417
474	5793	6402
475	5801	6386
476	5810	6371
477	5820	6356
478	5829	6340
479	5839	6326
480	5848	6310
481	5866	6304
482	5874	6288
483	5884	6273
484	5894	6258
485	5906	6246
486	5916	6232
487	5927	6218
488	5938	6205
489	5949	6191
490	5961	6180
491	5972	6166
492	5984	6154
493	5994	6140
494	6006	6127
495	6016	6113
496	6026	6099
497	6037	6086
498	6048	6072
499	6060	6060
500	6070	6045
501	6081	6032
502	6091	6018
503	6100	6004
504	6111	5990
505	6123	5978
506	6135	5966
507	6147	5953
508	6159	5941
509	6170	5928
510	6180	5914
511	6192	5901
512	6206	5892
513	6220	5881
514	6229	5866
515	6241	5854
516	6250	5839
517	6259	5824
518	6269	5810
519	6278	5795
520	6288	5781
521	6297	5767
522	6307	5753
523	6319	5740
524	6329	5726
525	6340	5713
526	6352	5701
527	6363	5688
528	6372	5674
529	6386	5663
530	6398	5651
531	6410	5639
532	6424	5629
533	6435	5616
534	6448	5605
535	6460	5592
536	6470	5578
537	6480	5565
538	6489	5550
539	6498	5535
540	6506	5520
541	6516	5506
542	6525	5491
543	6535	5478
544	6545	5464
545	6553	5449
546	6563	5435
547	6572	5421
548	6581	5406
549	6591	5393
550	6602	5380
551	6615	5369
552	6626	5355
553	6634	5341
554	6643	5326
555	6654	5314
556	6663	5300
557	6673	5285
558	6682	5271
559	6691	5257
560	6702	5245
561	6714	5233
562	6724	5219
563	6736	5207
564	6745	5193
565	6754	5179
566	6764	5165
567	6773	5151
568	6783	5138
569	6792	5124
570	6803	5111
571	6817	5100
572	6828	5088
573	6837	5074
574	6849	5062
575	6861	5050
576	6871	5037
577	6880	5023
578	6890	5009
579	6898	4995
580	6908	4982
581	6917	4968
582	6928	4955
583	6940	4943
584	6949	4929
585	6964	4919
586	6978	4909
587	6988	4896
588	6998	4883
589	7007	4869
590	7020	4858
591	7029	4844
592	7042	4833
593	7052	4820
594	7061	4806
595	7071	4793
596	7080	4779
597	7091	4766
598	7103	4755
599	7113	4742
600	7124	4729
601	7134	4716
602	7144	4703
603	7154	4690
604	7164	4677
605	7174	4664
606	7186	4652
607	7196	4639
608	7206	4627
609	7219	4615
610	7230	4603
611	7242	4591
612	7256	4581
613	7266	4568
614	7278	4556
615	7287	4542
616	7297	4530
617	7307	4517
618	7316	4503
619	7326	4490
620	7336	4477
621	7346	4464
622	7357	4452
623	7372	4442
624	7386	4431
625	7402	4422
626	7415	4411
627	7430	4401
628	7449	4393
629	7464	4383
630	7477	4372
631	7492	4362
632	7506	4352
633	7522	4342
634	7536	4331
635	7552	4322
636	7563	4310
637	7573	4297
638	7586	4286
639	7599	4274
640	7608	4261
641	7618	4248
642	7627	4235
643	7639	4222
644	7649	4210
645	7659	4197
646	7669	4184
647	7678	4170
648	7686	4157
649	7695	4143
650	7706	4131
651	7715	4118
652	7725	4105
653	7733	4091
654	7743	4078
655	7753	4065
656	7762	4052
657	7773	4040
658	7784	4027
659	7792	4014
660	7801	4001
661	7811	3988
662	7820	3974
663	7828	3961
664	7840	3949
665	7851	3937
666	7861	3924
667	7872	3912
668	7881	3899
669	7890	3886
670	7900	3873
671	7909	3860
672	7918	3847
673	7926	3833
674	7936	3821
675	7945	3808
676	7954	3795
677	7966	3783
678	7975	3770
679	7984	3757
680	7993	3744
681	8002	3731
682	8012	3718
683	8020	3705
684	8029	3692
685	8041	3680
686	8051	3668
687	8062	3656
688	8074	3644
689	8082	3631
690	8092	3618
691	8102	3606
692	8112	3593
693	8121	3580
694	8129	3567
695	8139	3554
696	8147	3541
697	8157	3529
698	8167	3516
699	8177	3504
700	8186	3491
701	8196	3479
702	8206	3466
703	8216	3454
704	8224	3441
705	8234	3429
706	8243	3416
707	8254	3404
708	8267	3393
709	8277	3380
710	8286	3368
711	8296	3355
712	8304	3342
713	8314	3330
714	8323	3317
715	8333	3305
716	8342	3292
717	8352	3280
718	8362	3268
719	8371	3255
720	8381	3243
721	8390	3230
722	8399	3218
723	8407	3205
724	8416	3192
725	8427	3180
726	8437	3168
727	8448	3156
728	8459	3144
729	8469	3132
730	8482	3121
731	8492	3109
732	8502	3096
733	8511	3084
734	8522	3072
735	8532	3060
736	8544	3049
737	8553	3036
738	8563	3024
739	8573	3012
740	8582	2999
741	8592	2987
742	8603	2975
743	8612	2963
744	8623	2951
745	8633	2939
746	8644	2927
747	8655	2916
748	8666	2904
749	8675	2891
750	8687	2880
751	8697	2868
752	8707	2856
753	8718	2844
754	8729	2832
755	8739	2820
756	8750	2808
757	8760	2796
758	8770	2784
759	8780	2772
760	8790	2760
761	8800	2748
762	8813	2737
763	8827	2726
764	8836	2714
765	8847	2702
766	8858	2691
767	8868	2678
768	8879	2667
769	8890	2655
770	8900	2643
771	8909	2631
772	8918	2618
773	8927	2606
774	8938	2595
775	8948	2583
776	8959	2571
777	8970	2559
778	8980	2547
779	8990	2535
780	8999	2523
781	9008	2511
782	9016	2498
783	9025	2486
784	9035	2474
785	9045	2462
786	9057	2451
787	9069	2439
788	9080	2428
789	9089	2416
790	9127	2411
791	9142	2401
792	9151	2388
793	9161	2377
794	9171	2365
795	9181	2352
796	9189	2340
797	9202	2329
798	9212	2317
799	9222	2305
800	9231	2293
801	9240	2281
802	9250	2269
803	9259	2257
804	9268	2245
805	9279	2233
806	9289	2221
807	9300	2210
808	9310	2198
809	9320	2186
810	9330	2174
811	9340	2162
812	9351	2150
813	9363	2139
814	9373	2127
815	9382	2115
816	9393	2104
817	9403	2092
818	9412	2080
819	9422	2068
820	9431	2056
821	9441	2044
822	9451	2032
823	9461	2020
824	9471	2009
825	9480	1997
826	9491	1985
827	9502	1974
828	9513	1962
829	9524	1950
830	9536	1939
831	9547	1927
832	9556	1915
833	9567	1904
834	9584	1893
835	9597	1882
836	9610	1871
837	9622	1860
838	9633	1848
839	9643	1836
840	9653	1825
841	9663	1813
842	9672	1801
843	9682	1789
844	9692	1777
845	9701	1765
846	9713	1754
847	9725	1743
848	9734	1731
849	9747	1720
850	9759	1708
851	9771	1697
852	9780	1685
853	9792	1674
854	9803	1662
855	9813	1650
856	9823	1639
857	9833	1627
858	9843	1615
859	9855	1604
860	9867	1593
861	9878	1581
862	9890	1570
863	9900	1558
864	9912	1547
865	9924	1535
866	9936	1524
867	9946	1512
868	9955	1500
869	9966	1489
870	9975	1477
871	9986	1465
872	9996	1454
873	10007	1442
874	10021	1431
875	10033	1420
876	10043	1408
877	10052	1396
878	10062	1385
879	10071	1373
880	10081	1361
881	10091	1350
882	10100	1338
883	10111	1326
884	10122	1315
885	10133	1303
886	10142	1292
887	10151	1280
888	10161	1268
889	10169	1256
890	10180	1245
891	10189	1233
892	10197	1221
893	10207	1210
894	10216	1198
895	10225	1186
896	10234	1175
897	10243	1163
898	10252	1151
899	10261	1140
900	10271	1128
901	10280	1116
902	10289	1105
903	10298	1093
904	10309	1082
905	10319	1070
906	10330	1059
907	10341	1047
908	10351	1036
909	10360	1024
910	10370	1013
911	10380	1001
912	10391	990
913	10400	978
914	10411	967
915	10420	955
916	10430	944
917	10439	932
918	10448	920
919	10458	909
920	10466	897
921	10475	886
922	10484	874
923	10494	863
924	10503	851
925	10512	840
926	10522	828
927	10532	817
928	10544	805
929	10554	794
930	10563	782
931	10572	771
932	10581	759
933	10592	748
934	10602	737
935	10610	725
936	10620	714
937	10630	702
938	10640	691
939	10649	679
940	10659	668
941	10669	656
942	10677	645
943	10686	633
944	10694	622
945	10703	610
946	10712	599
947	10721	588
948	10731	576
949	10739	565
950	10751	553
951	10761	542
952	10771	531
953	10781	519
954	10791	508
955	10800	497
956	10808	485
957	10819	474
958	10830	463
959	10839	451
960	10848	440
961	10857	428
962	10867	417
963	10877	406
964	10886	394
965	10897	383
966	10907	372
967	10917	360
968	10928	349
969	10938	338
970	10948	326
971	10961	315
972	10972	304
973	10980	293
974	10991	281
975	11000	270
976	11008	259
977	11018	247
978	11028	236
979	11039	225
980	11048	213
981	11057	202
982	11066	191
983	11077	180
984	11089	168
985	11099	157
986	11108	146
987	11117	135
988	11127	123
989	11136	112
990	11147	101
991	11157	89
992	11168	78
993	11181	67
994	11191	56
995	11200	44
996	11210	33
997	11220	22
998	11230	11
999	11240	0
